estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.03345857407952498,0.22409991118685646,0.6815869957041545,0.4610961084737245
MGH,0.08685420963353183,0.2824722571127584,0.6867130873216687,0.44173555971891443
CCA,0.07484127617518511,0.23924849318867247,0.7309281364763583,0.523821476719195
SFE,0.04539586058184617,0.2843282495587538,0.7099136332342291,-0.07738190397165146
UAX,0.052999532646189236,0.21953962885356992,0.7678577715818214,0.5751321996599794
CUA,0.014111136479525744,0.0618376471971662,0.9806921575946282,0.9600221913986637
NEZ,0.06808794716192006,0.22544622262870317,0.7514936798016956,0.5314264054685253
CAM,0.07622813055690296,0.2509287030936084,0.7488176925500651,0.5353730336738807
LPR,0.023452936471187808,0.06981739522793212,0.9788137494978177,0.9534914777922453
SJA,0.07202629976532869,0.2440015278925753,0.7490699898941972,0.5471387981784219
IZT,0.05888374459804467,0.22696974423111044,0.781689791262241,0.614861163805944
SAG,0.07070577048816404,0.26287080881648894,0.6857760469601323,0.45680618835775766
TAH,0.04668760106248589,0.24360857353749668,0.6619112814634404,0.43536470317548903
ATI,0.015813149508101365,0.05900262580907747,0.9852316198012845,0.964722301563239
FAC,0.05897612042931946,0.23355975013565083,0.7357010132350734,0.5461198660924127
UIZ,0.01703629188310839,0.03667811363619558,0.9942797918920565,0.9887445015170427
MER,0.022794042162525206,0.05426800619227314,0.988356105503778,0.9768476645605207
PED,0.014548276601815938,0.051836875432770387,0.9882873255553432,0.9750459639735953
TLA,0.01550775873242325,0.052118935680254386,0.9876645212549278,0.9754683200630941
XAL,0.01819213416032938,0.05205842950829674,0.9873565204587194,0.9754023635586674
CHO,0.05304513482619391,0.2129783034805639,0.7479793071559063,0.5585212379095519
BJU,0.018863287856780844,0.05149805443238252,0.9889291736092339,0.9772380022768469
