estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.03315831991894163,0.390082184167725,0.587255826578032,-0.3448979883955461
MGH,0.06303926581873256,0.4183281030280621,0.6931003393112121,0.19386224450625789
CCA,0.02683652425514453,0.3285849970654264,0.5777051304133808,0.3093076324798869
SFE,0.06438657037687714,0.39594782920266414,0.42700801115130493,-0.10928569618004635
UAX,0.045406117449453595,0.3639524635617494,0.4748651401437961,0.1485578793431006
CUA,0.009691765097828653,0.20692488194399744,0.8221571956067697,0.5293596014329403
NEZ,0.03049840773952458,0.3796986030104798,0.36123737173457093,-0.5568297203204766
CAM,0.041842709028599774,0.25281060724763543,0.7659000216927588,0.587366116073647
LPR,0.01387948227426767,0.04991321815077954,0.9924299310694068,0.9762711916992829
SJA,0.1396464758092728,0.24011248635626045,0.7474877561946713,0.5639391841217241
IZT,0.12490112799494336,0.43033466833068806,0.4625152337080693,0.08513556138844325
SAG,0.025136179731236462,0.39028984929959987,0.38474379322362295,0.12391701615689255
TAH,0.0393107535276828,0.3568318596614204,0.07243809945135433,-0.08776829367224948
ATI,0.010191833667415147,0.04933349015298869,0.9925568934975187,0.9781055294868347
FAC,0.03144376044562032,0.47119686747751743,0.19756820251332427,-0.10943813359671628
UIZ,0.015195170768756826,0.25367427127159936,0.8540651104268703,0.5569520635592733
MER,0.013427330792876547,0.0997562893438773,0.9640618391999395,0.9284508437138865
PED,0.015315121907331109,0.24758143945106723,0.7749210667514304,0.46073832490784494
TLA,0.01297938557107622,0.1622335928074074,0.9351591148009559,0.8199973799380965
XAL,0.014828882637764267,0.21565983933058255,0.9227324683376263,0.4885507390448538
CHO,0.028514857743678106,0.41742912555203454,0.361024662810707,-0.04777449667964628
BJU,0.00971442386545257,0.09775563255314407,0.9803515744472984,0.9109932960971165
