estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.03451477346314091,0.23928198330513525,0.6183178938552216,0.37225751546924035
MGH,0.0793841814060571,0.28080230737417466,0.6668052960130032,0.4091364056617812
CCA,0.0785178940620731,0.2345407826105836,0.7423411209518626,0.5329038865093487
SFE,0.043734786943619666,0.3054121505370655,0.6971903621651122,-0.3207258918040541
UAX,0.050751838254014275,0.21161674610177733,0.7863290788071894,0.6190625315385094
CUA,0.012994823170146084,0.06204853937119819,0.9801686334546728,0.9581019205637118
NEZ,0.05810791567246417,0.22591443175494086,0.7490024969683119,0.5246493018912661
CAM,0.08044792343567425,0.24731110776443235,0.7538124426426437,0.5505320420430109
LPR,0.023228728341412482,0.056449774838559334,0.9865991888080226,0.9706504933910586
SJA,0.0803531950807049,0.24712078082175468,0.7430275174139889,0.5252869278028937
IZT,0.05855966739101644,0.22255112430259485,0.7858884006911189,0.6192743134017018
SAG,0.06929643609595801,0.2603370198129838,0.6942778736166098,0.4651744925467409
TAH,0.04532549755521179,0.2342074811684734,0.675967870181038,0.4287255952661022
ATI,0.0163191504046766,0.060695856381253556,0.9852927158786482,0.9619444891675455
FAC,0.0523894895577496,0.23036174100458998,0.7320323648240755,0.540743809591729
UIZ,0.018832279380667543,0.047145634585763575,0.9906334055238906,0.9814199414404827
MER,0.023077593423647104,0.049496613294449036,0.9918716096235553,0.9803957989491787
PED,0.012675635177853502,0.041215218405567314,0.9922964257597668,0.9847809185978362
TLA,0.01919808173119955,0.06467435714244224,0.9806770908784953,0.9627492238488317
XAL,0.01662791231589578,0.050802249791987886,0.988134763319197,0.9767156016345534
CHO,0.054727351486693186,0.2076341613387784,0.7691391481388227,0.5967651773057459
BJU,0.019608831992229486,0.05391289998770646,0.9879238324501219,0.97510049404387
