estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.07141417312686044,0.37864362759095904,0.005128060063684171,-1.3968481166855495
MGH,0.07799205293974565,0.40337648793123954,0.6258397835910727,-1.220041977440875
CCA,0.08905139889509125,0.29137250675114207,0.709752623779923,0.1484717671045589
SFE,0.0,0.0,0.0,0.0
UAX,0.06839216174237338,0.2851891799739192,0.7185067093264853,0.4574062696732869
CUA,0.008520870868069609,0.05390645304688112,0.9822404852563351,0.9649066028495547
NEZ,0.137664360254816,0.27072499273570666,0.7190015778282809,0.36213788914550316
CAM,25779583.217433017,0.9999917260741943,0.09510624166596887,-0.7651810696586456
LPR,0.0,0.0,0.0,0.0
SJA,0.0,0.0,0.0,0.0
IZT,0.2792391822445316,0.3096022294998502,0.6435796607843597,0.2419938128335507
SAG,0.08054842649095155,0.27395943028094416,0.7066185660657925,0.46049555336952475
TAH,0.2394161620493701,0.2311005436479426,0.6112950325592466,0.3175382732223655
ATI,0.10607363061538798,0.06985747939867397,0.9837695947574938,0.9565238155307659
FAC,0.09632979169510336,0.28670386888000615,0.6504995131029897,0.3664102967493629
UIZ,0.021256464509281127,0.06932057035382132,0.9806303601963718,0.9613475736945698
MER,0.04806111769367257,0.06287436512212954,0.9865167911745337,0.9733693708101537
PED,0.012407523126675712,0.04958296584963557,0.9897715695279962,0.9766938441362186
TLA,0.01826986356418224,0.08453402041158234,0.9733859507561564,0.946847614411639
XAL,0.01648174023340441,0.06600064930129551,0.9866229586501274,0.9644975514781184
CHO,339.3000212049035,0.9127274706717821,-0.1375122251032278,-1.3706889009209653
BJU,0.09411554360356417,0.20408008205094155,0.8627744538787557,0.6559344679579525
