estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,36.57382186910429,0.20807619078848807,0.6863992917242858,0.44299151416094096
MGH,95.78493553274079,0.26225193239017536,0.729752378071824,0.5259471201206694
CCA,68.81556594530723,0.3423997134513351,0.5269138106856517,0.23519825308960662
SFE,64.19746335169351,0.33290661565261864,0.43239313005228847,0.16596303230198395
UAX,123.52680317506915,0.36965030108310454,0.48383705942690786,0.1174478682058151
CUA,14.908150417979844,0.04572449415249123,0.9900579125517792,0.9736684538421616
NEZ,76.94513439402559,0.37305505041856446,0.39652114807001443,0.11265201146675752
CAM,128.49485234125964,0.25410367789673327,0.7667490423020756,0.5788221909440496
LPR,30.17619468377633,0.08187006416061154,0.9696279695234795,0.9370950060768537
SJA,86.18177677862846,0.24417595425976923,0.752538665466511,0.5605767689627932
IZT,173.41666856405976,0.5827722494058083,0.15106208181784908,-0.2901036957098311
SAG,69.88990528270934,0.26286382862065943,0.682312531708366,0.4643954022178792
TAH,95.53142987597445,0.42717762696608974,0.2009889091354561,-0.18330993552623198
ATI,25.650637463315125,0.07932190274755696,0.9756224471472213,0.9377266575189994
FAC,70.39875122981925,0.29501099095163297,0.66766410343233,0.40686940707197217
UIZ,31.646029551388633,0.06999611804228596,0.984190521888249,0.9597652827726727
MER,32.534156710338934,0.07589434207218052,0.978746600736959,0.9555686664706984
PED,73.64129756464463,0.36490494359312997,0.8127538800826957,0.20915356481854164
TLA,85.72159360791338,0.4116240772938093,0.45792773564017375,0.07332259616671455
XAL,22.528105602386603,0.04550362131414233,0.9920054137475809,0.9816997630148692
CHO,86.61762791215278,0.3664787043785858,0.3722300977687728,0.07859446715342644
BJU,70.27808507670032,0.270898738035769,0.7364298379191424,0.5045598610578401
