estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.005143522873853034,0.21351301262993896,0.6789999419598851,0.3605265326263113
MGH,0.01851450619251087,0.29809899392024275,0.733744438502149,0.4851774802645391
CCA,0.018289569774835816,0.2493130097046126,0.7643054522773054,0.568632352740806
SFE,0.013797410906565727,0.2889664545423208,0.6863747951353211,0.41374352305748585
UAX,0.013680193179830788,0.24745323306947464,0.7638020959947426,0.5663405367723489
CUA,0.0016857047925118648,0.03898617556386466,0.9922883933640586,0.9835226818081391
NEZ,0.014117383040746471,0.2739725932199006,0.6977584514362479,0.47479785195263324
CAM,0.01575728990786096,0.2507539756200066,0.7829797123130003,0.6096423576625546
LPR,0.005058176174559334,0.06498402623760187,0.9826003836576456,0.9607617298987658
SJA,0.023287863024178516,0.24641978183904684,0.756593519856944,0.548289368922317
IZT,0.013945154927836002,0.2788187124642164,0.7487905632071616,0.5213912318667331
SAG,0.009792991305049464,0.23188121091565,0.7572987867261959,0.5720554375890432
TAH,0.010057417451468428,0.2276705466260608,0.7335994850483912,0.5417969668550577
ATI,0.0033940366856870055,0.04623043947031824,0.9910059608052932,0.9804253771738771
FAC,0.00973482801070925,0.2558870558533332,0.7064957432949611,0.49988485273444117
UIZ,0.0032106438920707168,0.04302551237291728,0.9923817277532141,0.9849642411473286
MER,0.004236275133929961,0.04681872863566889,0.9920032306508035,0.984230861874462
PED,0.0027783179586643703,0.04161175001255375,0.992253677826929,0.9848791260588043
TLA,0.0033611027313363486,0.05090808657167928,0.9905661299975014,0.9800581586678713
XAL,0.004037415342785731,0.06356420263114357,0.9828918497324602,0.9644471383834767
CHO,0.011653454457285883,0.2705345017943687,0.6975991410013863,0.4345334994302399
BJU,0.006288704898658978,0.1860696997638409,0.9566590426493216,0.6290400507417406
