estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.024278002710814015,0.21309258942358997,0.6103830665542723,0.3540630830280972
MGH,0.038614024363565105,0.271746417883669,0.7258524697385025,0.35206186376534976
CCA,0.06410111265871395,0.24699265273058219,0.7596204093021677,0.5602996288624775
SFE,0.0,0.0,0.0,0.0
UAX,0.0694376551116854,0.30305824332644604,0.7013456160284592,0.41060050611180643
CUA,0.008215929434418007,0.052917517126465696,0.9845744284443205,0.9672373860373282
NEZ,0.05094433670414014,0.262981843519505,0.7011015287517834,0.4863476248377847
CAM,0.06991169476801987,0.24930054227332143,0.7820480451305808,0.6174493998676007
LPR,0.0,0.0,0.0,0.0
SJA,0.0,0.0,0.0,0.0
IZT,0.08013872797207738,0.327520010864927,0.6713935602999828,0.39094018323930024
SAG,0.04273139006747877,0.24561095568862246,0.7410534767648989,0.5406767553103928
TAH,0.3062162345017148,0.27515107868895294,0.5562136272277735,0.24222169189016773
ATI,0.12106051415126391,0.07480549874065776,0.9778081656767333,0.9531910094676445
FAC,0.05184324205513648,0.26261898216570445,0.6980667969868904,0.48116211385920227
UIZ,0.021285761457307806,0.06015392508908343,0.9857312970297331,0.9716116895961204
MER,0.01869966800336735,0.04975350222301078,0.9931819067685674,0.9835529825589597
PED,0.014088070254999703,0.05722192791190509,0.9875562416373841,0.9711767334809676
TLA,0.0180048259968006,0.049138286343518967,0.9922467796062755,0.9827465186879939
XAL,0.0191350369730095,0.06168058536305558,0.9890009790937071,0.9687199825100448
CHO,0.10481733383163151,0.4060103354731462,0.6189189430120824,0.07706372746579027
BJU,0.03155041131304081,0.2725530275816146,0.8524734369234065,0.22916417545352197
