estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.07540531043085336,0.3224847803004344,0.45455887690611313,-0.3066821169283944
MGH,152480534.21573263,0.9999972322992632,-0.016859678721340688,-1.0067676712878226
CCA,151856176.59302112,0.999988657777773,-0.019792041757425393,-1.1413565223258129
SFE,233664.95450383454,0.9997489939245344,0.0074026441883472925,-1.342950408022101
UAX,0.046661132712144573,0.24319947764375976,0.7348591751944056,0.5344532184120858
CUA,0.018477423111183586,0.0815025755913651,0.9785446373353512,0.9291769606083362
NEZ,4410828.657821933,0.9999919109779497,-0.062132612218571914,-1.2322140380427071
CAM,1873546467.1602647,0.9999977628929206,-0.011743591045997669,-0.9573577821774544
LPR,70160150.46360323,0.9639742291417768,-0.028964573121490512,-1.400849525535433
SJA,1108806743.9581082,0.999995494732042,0.03084785424695517,-1.0152817847818016
IZT,0.3515246662240518,0.30081224232328774,0.6630806101046789,0.3800694085620647
SAG,0.06182585450464237,0.7171874401682606,,-41.75051464404994
TAH,0.08301288357870343,0.29075741704082436,0.5490287298347041,0.1290320879669984
ATI,0.015912296936806115,0.05833373692933514,0.9923384680229712,0.9671895200301451
FAC,17819667.284761027,0.9999964335076503,-0.0018311659355504317,-1.2661790563496171
UIZ,0.021835979678980058,0.06170723039273387,0.9844368511266284,0.9696773768886306
MER,0.02746808367416913,0.07107396024569274,0.9822854112704404,0.961606773158331
PED,0.016230926484651707,0.05881494757814934,0.98466580170061,0.9697681469647161
TLA,0.014964053457558133,0.05174278831929221,0.9890039849753728,0.9770762287999165
XAL,0.018794707896620147,0.07330288665588441,0.9760141822591012,0.9535604739630625
CHO,0.22302536274918638,0.30612513321586077,0.5968388988843081,0.22732504175361223
BJU,48097979.49410672,0.9999947629760736,0.21686151778049156,-1.1168641954194967
