estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.012265391303272763,0.2820438303426025,0.29034259900167053,-0.6571112660106744
MGH,0.020005093747966312,0.36688152195715906,0.421631341785135,0.17009703345507932
CCA,0.04247896293925572,0.5526293818574146,-0.09194443961260976,-0.28453057555244476
SFE,0.07962067605602277,0.4554062323181459,0.11290704264128013,-0.34881152705502716
UAX,0.03713149135407376,0.5122960729200827,0.06651820960992696,-0.24009912967548308
CUA,0.021240043773321598,0.3861439433499317,0.08451954623398863,-0.19079422142974423
NEZ,0.04471544838030214,0.5361698910426158,-0.1668396569862942,-0.3225249201555327
CAM,0.023615778064895315,0.6819916311417292,0.05822979223085676,-20.831423594294243
LPR,0.038240976498507794,0.2147603719517822,0.7929165796676007,0.5757749063981461
SJA,0.1942125674748217,0.31724014808847784,0.6571799000405291,0.3794361396961563
IZT,0.06752194919137876,0.650426712932367,0.02244868957443,-0.39929451079210954
SAG,0.023295541737534124,0.35648628502886404,0.46064799407355705,0.20503990969052655
TAH,0.04254214633385313,0.36663484302376237,0.21087349851235676,-0.09266649476572031
ATI,0.045767710906900586,0.419114082903853,0.7083688696139266,0.028488752569820086
FAC,0.04341062534307427,0.5627334917522357,0.15570167709387758,-0.3080450412999267
UIZ,0.02908640281800716,0.4461611142141914,0.5846454869917915,0.07221794052363528
MER,0.03534523364696046,0.4918573812423029,0.22166465743909752,-0.023447129919792253
PED,0.02689538772366193,0.4161277314880655,0.7077275833472543,0.04984852956848207
TLA,0.02506881373510472,0.4104393316892714,0.5494217573953427,0.18019358532530827
XAL,0.024173496810049842,0.40441008232820763,0.39679231996275216,0.10415768769487266
CHO,0.026729763077403344,0.4155237010603882,0.049670044663779486,-0.1024647058649677
BJU,0.05779774469154924,0.601085411428941,-0.17941642859429063,-0.36471438239820086
