estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.041415483951253204,0.4450302536618267,0.6017288213072207,-0.5870009727031884
MGH,0.016660202357116825,0.2731701889141511,0.6832193257604732,0.35629215752635235
CCA,0.027574688614923484,0.33835158583590613,0.5566687348038283,0.2862503571871503
SFE,0.11183533709368938,0.5124197889537541,0.4047722908180682,-0.4922271245338323
UAX,0.02694605541750414,0.43406815080265765,0.35604733048363746,-0.014609015447176077
CUA,0.005078116887878818,0.08872724946891938,0.9501306993606853,0.89933821487076
NEZ,0.025897106129620585,0.4160466980843854,0.2815299910859994,0.027568137019325922
CAM,0.04553469788681801,0.2482527732611729,0.7643972621450991,0.5782025546361949
LPR,0.06972254746696581,0.28759123436240147,0.9316029467650511,0.482146947777223
SJA,0.1583840010476972,0.2292443331363315,0.7673081496412708,0.5880115853252412
IZT,0.18692063008591092,0.3887997186714978,0.4621118232802643,0.14809060283746156
SAG,0.02467924886233072,0.26616011159950137,0.6923148821492185,0.4778035141404422
TAH,0.039568692556518174,0.32552396551988305,0.3753390196953786,0.057125726145177746
ATI,0.011052849368635017,0.05327176878587427,0.9884290259479859,0.97276978611804
FAC,0.02744802703630372,0.3413818665928216,0.6202577600903261,0.29984726983155763
UIZ,0.006735670415771908,0.04267621421441495,0.9934763334015605,0.9852270539636812
MER,0.014323385569702852,0.09148728969736022,0.9707266717020183,0.9410640137582249
PED,0.010392519160157198,0.0996219631224279,0.9783190292572685,0.9177808113779096
TLA,0.006642927301047764,0.05215592345802167,0.9913824439593745,0.979946032972139
XAL,0.007712986423144997,0.05448039406626116,0.991942497960867,0.9761495993812026
CHO,0.02184484405924184,0.35483126273822974,0.3640366933083625,0.09825930494545032
BJU,0.017837932220448036,0.2309603259586549,0.8595282583281636,0.6600866266066829
