estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,48.236974687513246,0.2629516405927583,0.524191634200979,0.2846296861781268
MGH,118.29508805863662,0.32892110512938305,0.5977212684358216,0.3143564994220879
CCA,96.61427716822433,0.2843525384277572,0.6615585846319416,0.4024085138352612
SFE,57.01632479681828,0.2825108519440547,0.5642131343281931,0.31082666906082657
UAX,71.86644446147145,0.24961948783315488,0.6958781194014649,0.46930892068299
CUA,43.228418747441296,0.17739873252058963,0.8231137368287714,0.6840370768632253
NEZ,280.4009522107884,0.6052425078956373,0.12495288791837256,-0.5230694776536173
CAM,111.02012829420234,0.35009690313778263,0.5404853300935114,0.27049927006377605
LPR,49.29403335709658,0.18162945218441115,0.8416771404249707,0.7097113470264425
SJA,75.68478053030164,0.2645899118105704,0.683464857551474,0.470000670132943
IZT,83.01854449886973,0.27180746599418076,0.7055221169285363,0.49369477944838114
SAG,67.40397717971712,0.27940141947642494,0.6081204637544677,0.37275053525891677
TAH,76.0912478041191,0.26705363261515225,0.613922454027163,0.32364007178669385
ATI,39.341447354775966,0.1649046516428307,0.8647607799887602,0.706083146711699
FAC,83.0683275536631,0.3003084553293015,0.6077395640261863,0.34656893519425047
UIZ,63.72608181059848,0.23339931319043628,0.8403213209602116,0.6471146478185088
MER,516.4038028179182,0.7272506267459192,0.17025073393417187,-0.5284107709176273
PED,69.70209224618156,0.2068749795013634,0.821128446870527,0.665958535086868
TLA,62.043409443589425,0.18927986722281384,0.8446486432609572,0.7142997561477193
XAL,61.30977583863022,0.2019531492344167,0.8127292758760103,0.6623491792291125
CHO,39561864.22188424,0.999969880530463,-0.3757314694152829,-1.5762371850752293
BJU,99.02383625126309,0.1892953417205881,0.8442068589258972,0.7168989839405909
