estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,879963345.0972923,0.9999999746625357,-0.019416721369560356,-2.984069921800224
MGH,0.36240785104059503,0.458877387726728,0.26890678452891265,-0.7007376807510071
CCA,0.13127114587664554,0.30728041179782856,0.6471779346010693,0.13380388636015006
SFE,0.0,0.0,0.0,0.0
UAX,0.0893632382633288,0.2571592058971591,0.7372788700490895,0.506090784317808
CUA,0.00970829922742957,0.07627673163379999,0.963686800449078,0.9304481650070501
NEZ,0.10791076294192445,0.24615184301490148,0.761704863097474,0.49657986537516985
CAM,193756.1047654812,0.9998512021461964,-0.13146233406995766,-0.7651423427148127
LPR,0.0,0.0,0.0,0.0
SJA,0.0,0.0,0.0,0.0
IZT,0.24915076656248666,0.3183910397313632,0.6455578371988537,0.29293181987009176
SAG,0.09587732410685981,0.3080914764871481,0.6424963220694755,0.3453351309093553
TAH,0.2957378456767244,0.2628228680578302,0.5192930792279119,0.07824544008794954
ATI,0.07807774220547005,0.04427828802764186,0.9930283100087719,0.9828784949095761
FAC,0.05434901114534052,0.28689286295485683,0.6281991363281451,0.32500816948710576
UIZ,0.015274382617140024,0.05374329498368294,0.988881286709213,0.9773913330642804
MER,0.03013277142097315,0.08128565123754963,0.9773993361827205,0.9554415527625284
PED,0.01799907661248125,0.07510697045567233,0.9768939085921327,0.9500547898594225
TLA,0.016403451810516223,0.06093656039640284,0.9862791654832979,0.9729832569153954
XAL,0.017072737926795974,0.07606108988722957,0.9777921214148214,0.9534807642471077
CHO,0.11295913839559577,0.2688985150548808,0.7175164129559888,0.4124657244867084
BJU,0.032536774849898954,0.2584523269363059,0.8344945619106824,0.27459573493361333
