estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,1.6215475911909025e+23,0.9999999999998148,0.02584917240205963,-2.253028888124631
MGH,2.613743632207864e+27,0.9999999999999989,-0.008440636159500145,-0.9651407235453426
CCA,1.8914330474142633e+28,1.0,0.043292477892255564,-1.1150621731986936
SFE,3.216214692052155e+24,0.9999999999999591,-0.02616200670877019,-1.4112884645534405
UAX,0.013950798706102448,0.2517073591103381,0.7648506326703088,0.5567625934703244
CUA,0.002386760816763079,0.05558563385541794,0.983022915004843,0.966752604223546
NEZ,3.7533888465474767e+28,0.9999999999999938,0.024670133507728502,-1.2060952128188522
CAM,1.648124925176575e+23,0.9999999999996099,-0.006122186780466812,-0.830171249335272
LPR,8532.817674841826,0.39032953084948163,0.5323290859509398,-0.6596260938030907
SJA,inf,1.0,0.026005736978805215,-1.0412770796399227
IZT,4.624729269222212e+27,0.9999999999999872,-0.02490374073821196,-0.9888331049940409
SAG,1.1785229743626702e+26,1.0,-0.0020946463151393048,-1.149711973083201
TAH,3.085709156057177e+25,0.9999999999999786,0.029754253972383328,-1.594550601513805
ATI,0.003720232267734964,0.05668949915409439,0.9851450401935413,0.9707699114608005
FAC,6.14783528518052,0.4583185964211833,0.3185647881157898,-1.1586133881049574
UIZ,0.004737945288812963,0.06864966703474457,0.9804659616154647,0.9619413112739842
MER,0.005137108955391485,0.054868152962654966,0.9896138718854768,0.97876183682253
PED,0.003205790346265694,0.05249276631560514,0.9878318770272427,0.9758909300925888
TLA,0.0033739693750594324,0.051038755080905385,0.9896577533230814,0.9799356399306262
XAL,0.003616957158126495,0.050497687055691305,0.98867504393403,0.9774317255941745
CHO,6.602563377265333e+25,1.0,0.00623660606982325,-1.4739852926178707
BJU,33.64371116729082,0.50755444655146,0.24048363669857556,-1.4455621241600367
