estacion,MAPE,uTheils,IndiceCorrelacion
AJM,inf,0.5403586978305259,0.652965620880398
MGH,inf,0.2696971417641391,0.6893866346135624
CCA,inf,0.3330769898865624,0.6013414674651258
SFE,inf,0.38828824020024366,0.49008600374109595
UAX,inf,0.4082225279079845,0.3456659087277691
CUA,0.21344944002960733,0.055823499189458406,0.9807641266347762
NEZ,inf,0.3354928144288276,0.47558547633754045
CAM,inf,0.26671577674177704,0.7393798844201136
LPR,0.6774114090361671,0.22996101510791467,0.9769460585090725
SJA,inf,0.24088863628597723,0.7368703528058915
IZT,inf,0.5215119968004653,0.14140607430739446
SAG,inf,0.2676320265707288,0.6963237737094831
TAH,inf,0.33585323687826596,0.38847901446934197
ATI,inf,0.0675741837927868,0.9783905101581462
FAC,inf,0.28013632945001765,0.6721789434713037
UIZ,inf,0.05228244187178401,0.9889184385027928
MER,inf,0.05444593937699871,0.9888265340391945
PED,inf,0.1057428585070854,0.9796387731019647
TLA,inf,0.05588483659399596,0.9903024890971112
XAL,0.8683633524021239,0.05924856452904065,0.9882064564505293
CHO,inf,0.3902392291962286,0.3622839252590237
BJU,inf,0.08276581153930743,0.9716432885760404
