estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.006160834909615167,0.2742168005725897,0.6735448122224376,-0.4148205250111019
MGH,0.008486646653417342,0.25992809621644736,0.7227465049823911,0.4273554338190355
CCA,0.01412052849700855,0.25057686845808885,0.7615281847601525,0.564731031893323
SFE,0.013952336041078886,0.2994013718102781,0.6658817859841699,0.37980853534509695
UAX,0.014396369327663595,0.27852019493944624,0.736454653960456,0.49017793085003913
CUA,0.001827927600681301,0.04112979954503702,0.9914612016128568,0.9815929637538627
NEZ,0.014329785125640867,0.24836347336475223,0.735375281037415,0.5311905220821879
CAM,0.01653952677884405,0.25150297505622066,0.7812240410007067,0.6081360598921939
LPR,0.004580719966289481,0.05975376921984578,0.986259498340483,0.9662767220095455
SJA,0.024411194554747464,0.2412891606803323,0.7644037934257275,0.573531342018395
IZT,0.01767976861533857,0.2674988144709317,0.7662550193775216,0.5541028771050891
SAG,0.010572180447947055,0.2371821748580105,0.7516503755957824,0.567320045248455
TAH,0.010865012538519243,0.24237443733159095,0.7193312172852769,0.5035610111111459
ATI,0.0038481110490251585,0.05488695726759195,0.9866670455751688,0.9724670393219566
FAC,0.009701417653429993,0.2496868970235703,0.7145337013832305,0.5045161422419755
UIZ,0.0032092313476251933,0.04245063409102931,0.9924791567187239,0.9852311547066591
MER,0.0044624016153502494,0.04779653757573564,0.9915974086146179,0.9836343175143706
PED,0.003616033591802094,0.06293705379378205,0.982913861396943,0.9660511909690106
TLA,0.004040912610828891,0.06193329406381908,0.9848863898203903,0.9705226326886898
XAL,0.0043057261888293724,0.07136168387879468,0.978168500111372,0.9541937919215147
CHO,0.011847791493947527,0.2777276585302848,0.6863961801143328,0.4141497597836299
BJU,0.007028305384294989,0.22115352767126908,0.9149495324966032,0.47355008811906896
