estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.03908604027221039,0.20839406832593987,0.729867790112074,0.5379487604776986
MGH,0.05258333589734107,0.264001688415787,0.7118169108223898,0.5077679268460386
CCA,0.05480532661927236,0.2491708519903699,0.7137608947575219,0.4753352074974653
SFE,0.03514574975670696,0.2924176518511736,0.5878757332676148,0.043326474257917025
UAX,0.050887912444980074,0.2436895154610206,0.7487716582781673,0.5507635921658556
CUA,0.021574529820964732,0.09760561485960768,0.9519662332866813,0.9031952185278848
NEZ,0.0534502722785817,0.2588050095853996,0.6897301553342172,0.3633757242435727
CAM,0.05489777450596409,0.25789252396495727,0.735476500696321,0.546922426104657
LPR,0.01705345296223982,0.055521249642837674,0.9907943883668319,0.9707653351548262
SJA,0.054885549419399784,0.25424114845998386,0.7266066860674385,0.49357587381310053
IZT,0.06114135396799588,0.25257959919245904,0.7586950465763658,0.5689403292529858
SAG,0.04814747087055067,0.26194260792400426,0.6609366625914967,0.4358210888103905
TAH,0.04566884336622336,0.2676122802102192,0.6274729932226735,0.37263196223836215
ATI,0.014015119890724823,0.05051967462612542,0.9897310122295155,0.9761895148099766
FAC,0.06747302845829296,0.22903925327335023,0.7467037695254019,0.5615996977180351
UIZ,0.023438900580485412,0.0739082711920649,0.9791557276069527,0.9563180477595582
MER,0.029165977121478486,0.07961216306823955,0.9764611876942794,0.9523675200393527
PED,0.012474925190267874,0.04053368575557046,0.9931327510978958,0.9858245731951131
TLA,0.01662145831524516,0.0700865117672495,0.9842987109513425,0.9548087623893569
XAL,0.014438422030286962,0.042713964526035424,0.9942391073762229,0.9839670977870318
CHO,0.052756677405728314,0.232120475117962,0.7290680516717137,0.5210078336022488
BJU,0.01909822564122177,0.06392463132305674,0.9867905265167538,0.9654074819135714
