estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.034876951540482606,0.3175224445199234,0.25894140599018833,-1.0781690321709658
MGH,0.5037562310761204,0.3267168370792252,0.6440861415184063,0.12225626922492161
CCA,0.07421594981090615,0.29720573119694416,0.6317172639885377,0.30181121961530666
SFE,0.0,0.0,0.0,0.0
UAX,0.06802683360129391,0.31683347021566793,0.7106054521123178,0.38595704401587616
CUA,0.009502941085887439,0.0701804247636659,0.9719980899344288,0.9402377905436132
NEZ,0.07995707705990851,0.2570351155989719,0.7331394920053621,0.41972496542177284
CAM,0.12498917615859227,0.2689947362624392,0.732189463149973,0.5020540100426942
LPR,0.0,0.0,0.0,0.0
SJA,0.0,0.0,0.0,0.0
IZT,0.13194930260114335,0.3042037472980768,0.6573399081384463,0.368132135029291
SAG,0.05434646543304268,0.27428575324050913,0.6877170886528283,0.38380339936787733
TAH,0.4068663782466378,0.2937873273958557,0.5440310004720548,0.15891207766786564
ATI,0.1106245576695909,0.06321978193160697,0.9877741243955722,0.9646387143977927
FAC,0.07080384225669221,0.2823367305759681,0.667248303413588,0.4027058218761661
UIZ,0.01607504690736127,0.05606266380487864,0.987470958262583,0.9746624067018154
MER,0.017774464332123912,0.05253815459611711,0.9911498288120457,0.9811163132396112
PED,0.017014478374965294,0.06753186651010953,0.9814203370249676,0.9598583850181921
TLA,0.01685574537206866,0.07145545339545942,0.9821724524422898,0.9623391669696509
XAL,0.016781411203052928,0.06888410867119356,0.9859512412544501,0.9603423067359714
CHO,0.06088675954186903,0.26397216389910755,0.6901383822744641,0.4440216774783978
BJU,0.04412465459399801,0.19574496447136766,0.8621460906352733,0.6897082459962325
