estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.007164659250666449,0.24609640795397206,0.6227754931717043,0.3590992169996228
MGH,0.00932468147728456,0.30449030584350584,0.7128970836405536,-0.0013232541167158551
CCA,0.01604723698053095,0.24911271277626626,0.761031070713396,0.5620649044697736
SFE,0.013381238579245584,0.2818395366731904,0.7075294020619504,0.4399824578260144
UAX,0.01563691680690941,0.25639957683328035,0.7598781336108783,0.5417478548031582
CUA,0.002402869629060522,0.05459792667905003,0.9831902875126697,0.9673871023664072
NEZ,0.013737992493892556,0.2165076738915712,0.791789990394087,0.6184511699012283
CAM,0.01655026032535382,0.25416133863881524,0.7744309063854464,0.5927961284152001
LPR,0.004288095661728545,0.05326435341181839,0.9871038778905983,0.9741309665751497
SJA,0.024636239094939488,0.2426614713674748,0.7712079137884306,0.5876389766663281
IZT,0.018538362787064267,0.24554231785602965,0.7844708146761024,0.5989895722256354
SAG,0.011266401539400383,0.2367599806089447,0.7558597207131706,0.566612466492648
TAH,0.010554373636382768,0.21479717389549027,0.7650866715415605,0.5871024743923956
ATI,0.0037310182963065292,0.053987427916079744,0.98659771337866,0.9734374837148757
FAC,0.011149166241405651,0.2449185513893055,0.7367821398934489,0.5399143985613668
UIZ,0.003823727733984425,0.049686843209043714,0.9896182289015462,0.979948546111647
MER,0.004603121032015297,0.057901604871022486,0.9876085344757052,0.9759224611670393
PED,0.00301802098794962,0.04958120458558215,0.9897562449950874,0.978947279409372
TLA,0.0034752271931370797,0.0510177394258679,0.9896920310326159,0.9798177547282811
XAL,0.00355981759667588,0.045256458588123785,0.9909837105629937,0.9821832417610108
CHO,0.015292890944331535,0.24446782792531194,0.7452288959451708,0.5191450659509416
BJU,0.019577889672558392,0.21914885582801966,0.9241763072357819,0.7095257703577083
