estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,901920.2892397278,0.9989135685548084,-0.03583955505735601,-2.252727874187676
MGH,6750593.126851842,0.9990768181237006,-0.010131937851971381,-0.9650991576366914
CCA,10424.664485729223,0.9854722879562098,0.1428029016482874,-1.104191463882095
SFE,0.017793542881734136,0.2529720685310573,0.6899700827164005,0.45712951328972506
UAX,0.02177332765855996,0.2426749852958291,0.7571841255888242,0.5440750282107354
CUA,0.00293372672161657,0.07474002005132097,0.9704956599751535,0.9367285550949073
NEZ,6165735.329404296,0.9999978347226998,0.042823054090012413,-1.2060942852159813
CAM,0.01950973061306287,0.26680506215199357,0.7401312532346779,0.5247625393047515
LPR,381015.20955073065,0.9993912608286583,0.0541282747747661,-1.3375988347790617
SJA,4887555.95074281,0.9999205725321101,-0.005793401922131207,-1.0412559866107367
IZT,0.02023994357879893,0.25396156290066196,0.7635021017314064,0.5653538269327714
SAG,0.013996462876700385,0.2581712360028417,0.7084179526374774,0.4681557078385775
TAH,0.0114964086871349,0.22221947027740704,0.7390738870574243,0.5443932997419481
ATI,0.005203403737738798,0.09481139071978867,0.9576306811680952,0.9185364826981207
FAC,164115848661035.88,0.9999999993352181,-0.02105361510474316,-1.2052689274815283
UIZ,0.005352596843326044,0.07884533157536977,0.9743404600620393,0.9494557969742258
MER,87594677908.03413,0.9999999614626138,-0.057036708507693365,-0.8609840231442589
PED,9965604.78805439,0.9999861104099323,-0.05556783589670912,-1.2550137316607186
TLA,10823370.846289136,0.9999864012799613,-0.03082724093105531,-0.9894251868547268
XAL,240189313.06448975,0.9999748876550695,-0.013329718776058616,-1.2776703709698234
CHO,9369998.764310427,0.999997794767105,-0.1255862073270949,-1.4739838409737693
BJU,2142766.2588887294,0.9998132942403432,-0.014075871190494188,-1.014031837205085
