estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,4.263378898317499e+22,0.9999999999452395,-0.009975607464763775,-2.25302888811845
MGH,1.4312388143386223e+26,0.9999999999999886,-0.016388926748594157,-0.9651407235453417
CCA,24.048239324898947,0.4417909135104706,0.4136886989536559,-1.2598991703067401
SFE,2.2595019059711922e+25,0.9999999999999997,-0.005252817020619516,-1.4112884645534414
UAX,0.014451120614998475,0.23994820625306296,0.7856562142508434,0.5936921257208807
CUA,0.0021902158383395464,0.04909028837491518,0.9866422613379244,0.9738298549639323
NEZ,1.0158504544303838e+24,0.9999999999999025,0.02055494797681194,-1.2060952128188402
CAM,8.693657536307578e+22,0.9999999999991919,0.008431100088387718,-0.830171249335135
LPR,7.050726386289485e+24,0.9999999999999497,0.013405803979751359,-1.3378591191167724
SJA,3.2457994173068095e+27,1.0,-0.003555183824859114,-1.0412770796399227
IZT,265.9203093871061,0.44635394846958615,0.4278916379930394,-1.1713638479452109
SAG,9.368579119415415e+22,0.9999999999975483,0.011635544094147387,-1.1497119730829404
TAH,3.271143992394289e+20,0.9999999999956736,-0.007025743033985797,-1.5945506015132618
ATI,0.0035985695191761984,0.0546698333720191,0.986224625369432,0.9728358941910634
FAC,1.4585221449614434e+26,0.9999999999987578,-0.0012772751132607936,-1.2052689275140804
UIZ,0.0035608195530547463,0.04848163558019446,0.990168910928665,0.9808660054131925
MER,0.004914782284152993,0.0674330202967644,0.9835453532249292,0.9669191568423258
PED,0.003167535928219258,0.05144957029217768,0.9885818491962706,0.9771491212356282
TLA,0.0035855886928999594,0.05212890544073108,0.9893512004448065,0.9788983055404286
XAL,0.003985303917965321,0.055809140308479575,0.985860845323212,0.9724491807147677
CHO,378.7601487763742,0.4385987366513449,0.3458980692585042,-1.239721669532842
BJU,inf,1.0,-0.0075962676991002814,-1.014051812867935
