estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.011240251621984988,0.2437599006701468,0.6336155515900119,-0.22278538609145637
MGH,0.029929091844503937,0.31701393729459787,0.716541769709846,0.4405147853859247
CCA,0.026847683950746055,0.3309123525312387,0.5812995194130262,0.30257972757263285
SFE,0.059428035741203325,0.3657512355237591,0.4820632539386697,0.0019160284059945853
UAX,0.05578965638777964,0.3866396313669725,0.451416737155286,0.08530713046772631
CUA,0.002923521193888022,0.03730050704605828,0.9923140803075569,0.982864356970565
NEZ,0.020115455154772352,0.33403075018638745,0.40888046903129416,0.007578803423069491
CAM,0.023207280232833957,0.3423942298636929,0.6656073466124722,0.3958524449682702
LPR,0.021836978995756363,0.06816048978686393,0.9821955706230897,0.9556438493384748
SJA,0.15407410272542146,0.23854744020791405,0.7540066865292252,0.5648407019867399
IZT,0.29109467537437955,0.40668948601084726,0.4741937824935398,0.1353939795479291
SAG,0.023782724055503426,0.2989833395364371,0.6021151795515267,0.37226491515170057
TAH,0.03279911017223446,0.3059132228800751,0.31657459652713593,0.08907649497360837
ATI,0.009266919692977531,0.043962423851832515,0.9927783859472668,0.9823789386923738
FAC,0.023470299667186025,0.41359904028362454,0.3839219241897238,0.04098006148364641
UIZ,0.014236885682282367,0.22679072955839963,0.8825333846432574,0.594941330165643
MER,0.03512882058693874,0.4886289640732538,0.2086920730237389,-0.02155934703116391
PED,0.023395063342851127,0.37441356519636304,0.7128076248629958,0.1740500532649023
TLA,0.01110263005345068,0.12183454139861988,0.9515186268602015,0.8822032022989011
XAL,0.010179844587635174,0.09737066670107855,0.9691393908382502,0.9224861157692931
CHO,0.04552772600827722,0.4445730027630082,0.3613855373356088,-0.13971408636877425
BJU,0.008636985362324422,0.06934499863111125,0.9908136883389175,0.9580160569473294
