estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.013282065440872586,0.2803713298335513,0.5836199336769419,0.18660868251593588
MGH,0.018076959260102634,0.2790647147258451,0.70324367590335,0.4273812213735526
CCA,0.016928365431878027,0.2596010590180546,0.7404280978081317,0.5300936057482992
SFE,0.015194592414898686,0.2915440590888417,0.6946557483779224,0.41105265986905193
UAX,0.01401620035261681,0.2402868617489591,0.77530896949608,0.5828376549639146
CUA,0.002418925850096048,0.054777588233742056,0.9830819681994885,0.9672362966023222
NEZ,0.014680093877349875,0.2262417920170393,0.7762623482937454,0.5902117438371337
CAM,0.01637032302025146,0.25076098391061835,0.7749634062532298,0.5959299904423756
LPR,0.004227242627550514,0.05011310753185323,0.9892767221213029,0.9768744711098739
SJA,0.022710579454974244,0.24474391177099414,0.7660105648475719,0.5720531793840993
IZT,0.01982518089792106,0.2557216379152804,0.771402957008094,0.5696749691484466
SAG,0.012122932828467362,0.24019388672336955,0.7505777599944682,0.5539974208180741
TAH,0.010802677769184914,0.22418441393758734,0.7491675831923094,0.5574417248279782
ATI,0.0036965072731531125,0.058129314898070446,0.9849549289787329,0.9690214469333565
FAC,0.00994154903514373,0.2408642750244213,0.740698230608552,0.5517933399904735
UIZ,0.0037137185219715788,0.05439310275967443,0.987529063099063,0.975948014655547
MER,0.006257859628956921,0.07101383123196238,0.9833446195788416,0.9648818323603219
PED,0.0032542415685585303,0.05084455383099859,0.9890765682694741,0.9776903107901985
TLA,0.003978236394270836,0.05535054008454556,0.9878151972420353,0.9763456820641565
XAL,0.004231663527140447,0.051615542056071696,0.9882703342280046,0.9764827809282052
CHO,0.01680804372630404,0.24562200435865944,0.7458554987318095,0.5133224310529121
BJU,0.006598357569844317,0.19368158879749275,0.9599182794539725,0.5876057237524331
