estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.0033021798040984095,0.20027978898769308,0.6827374697858228,0.4586230311986723
MGH,0.007503732191615073,0.264495611784049,0.7147458403910891,0.4948671729436702
CCA,0.011006324075297553,0.23387697561140855,0.751148378547502,0.5539751637596247
SFE,0.009547376053152088,0.32037620722803895,0.611021428603884,0.29267397001515294
UAX,0.013420336128961242,0.2511433990593981,0.7634928803416133,0.5595545642630164
CUA,0.0022582495752327203,0.051007296224397196,0.9855520062376019,0.9712760716540494
NEZ,0.013306279425431103,0.28678766650347914,0.69968178495357,0.4587129296501151
CAM,0.00912668658689595,0.23630199879876973,0.7673697133661002,0.5879977412138273
LPR,0.0022215898303561674,0.04366962452618273,0.9901954561753828,0.9784778740195587
SJA,0.013922947924047458,0.23044876570985617,0.7569869554505532,0.5682267207309636
IZT,0.012976103050727222,0.28049282786510465,0.7651890808954888,0.5449423593737615
SAG,0.006011670919351287,0.21532810384147386,0.7529256030849744,0.5633395663545244
TAH,0.006999806747861651,0.22160144869052548,0.7641013687552787,0.5874639975085114
ATI,0.004180787536718351,0.0641310524629029,0.9817857709185343,0.9620764743671326
FAC,0.00587383197632699,0.23326020955167506,0.7237056018302092,0.5266703086154518
UIZ,0.002864752216346163,0.03891535282908921,0.9937902088001114,0.9875744475705195
MER,0.004873327836819026,0.055628212509495116,0.9886257569334771,0.977837572766654
PED,0.0029515257175175935,0.0466265991342627,0.9902335656567146,0.9810190247304441
TLA,0.004658504169467967,0.08050563114000142,0.9742204306068567,0.9492678251877056
XAL,0.003937144979560489,0.044263025917741464,0.9918458524351894,0.9827157015657241
CHO,0.00782942000662773,0.2623286498400516,0.724413863218665,0.4910523468511303
BJU,0.0030681552121478942,0.0992823603403855,0.9558227533401877,0.8998905969987474
