estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.578010115321791,0.9627226831589222,-0.006685871272255489,-2.1475803404405283
MGH,0.029003266589168002,0.48856740077424937,0.4919805856926533,-3.4151655978239797
CCA,0.06467685015478178,0.3429044089748436,0.5469828254633119,-0.10456375075984625
SFE,154985479.51154226,0.9999872260909091,-0.02809116560993698,-1.4112869379146864
UAX,0.011792318697555456,0.2572499086866151,0.7532748549377148,0.5411449803414912
CUA,0.0023276482224291947,0.053325317132957115,0.9841022983822163,0.9689987113894568
NEZ,0.03832020476137823,0.317060257059274,0.6405965063171579,-0.06102708127188139
CAM,208423108.0074531,0.9999974582087999,-0.01874067861140262,-0.8301703793827333
LPR,278473571.118119,0.9996058234124894,0.022331157128486608,-1.3377764851046066
SJA,7900276409.84982,0.9999999339434263,0.003514871785936553,-1.0412770656904948
IZT,23405666.8837207,0.9999612523655743,0.08320216034922848,-0.9888185073784088
SAG,0.022878545001039922,0.3548188895847369,0.5249901512373354,-0.3161023034732149
TAH,0.02415755580624104,0.2980333620694598,0.5827820839133656,0.19317454732750083
ATI,0.003965657748200484,0.058968768160531204,0.9850477115575386,0.9680738020003349
FAC,21510537.14562775,0.9999886460807555,-0.005102032554011089,-1.2052671768874919
UIZ,0.003478497768712002,0.04838860744795702,0.9902985190879497,0.9809070056372127
MER,0.005434933294994004,0.07896522813078401,0.9770812550071226,0.9556377977842304
PED,0.0038428168776420586,0.07199890366543728,0.9768168066395163,0.955058440355587
TLA,0.0035566789702669846,0.05044801490850307,0.990535661533209,0.9803564080458398
XAL,0.003583964592175148,0.05020338217917545,0.9903523922984137,0.9775239972574188
CHO,0.03507416116017083,0.3109364534046332,0.5694183183245992,0.07870214979939272
BJU,0.19500842757905038,0.32534100163204926,0.6671274888655818,0.06881371145818671
