estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.03169176611892948,0.45651744777099074,0.6155127008693373,-0.4008896273552667
MGH,0.010564374992516294,0.2559036584351867,0.7324148107706916,0.4806252776804807
CCA,0.027402061789672038,0.26611224650941173,0.7390582756734541,0.5161231185881039
SFE,0.014143463072897293,0.2854736078974977,0.7038387971100153,0.43046683926004725
UAX,0.016636531801066827,0.2529303597217453,0.7687425794738298,0.557031045749848
CUA,0.0018870984508758911,0.039807047700185554,0.9912051823591751,0.9827766517414669
NEZ,0.013376127636536046,0.22714240600280475,0.7878876358178434,0.6065540620716894
CAM,0.02057421181306441,0.24720876040663084,0.7817736823610266,0.6069891231243385
LPR,0.00455919768220361,0.05521105145119425,0.9874660227593867,0.9717474604793933
SJA,0.02349491090108133,0.24066585991614223,0.7695912008261965,0.5820903481726379
IZT,0.019121318299006422,0.24963632477476494,0.7812651525855409,0.587348995391582
SAG,0.011199223725403572,0.23258082264447846,0.7625460839600179,0.5801960092182293
TAH,0.010060790198772212,0.2211841087646125,0.7517364527851463,0.5680904526464112
ATI,0.0037212439587787235,0.05617788722851817,0.9857283715605045,0.9716720223877934
FAC,0.010668837733295833,0.24247204243874615,0.7412584761702727,0.5465607218068695
UIZ,0.0033481251591530006,0.04852490833215006,0.9903007456727301,0.9810313986658155
MER,0.004647482624372794,0.04571934321917587,0.9922454042763023,0.9849868478869138
PED,0.003185851776969952,0.05218177705980919,0.9878478726552716,0.9762291911908904
TLA,0.003281164300790428,0.04931149414098073,0.9905522596912311,0.9811860626177986
XAL,0.003495229725682238,0.05108375114362847,0.9883989510189803,0.9770534814236632
CHO,0.014814466384841173,0.2321007488829168,0.7530849939105311,0.5469240172162213
BJU,0.006308501691329876,0.1676595509654439,0.909819023078562,0.7429821759456237
