estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.021946211204774836,0.3600185846699152,0.2678747357391236,-0.846636129203495
MGH,26389339.586424116,0.9991570608442726,-0.017515250077827983,-0.9650833426303578
CCA,0.020777393667949097,0.27808818551226155,0.688449643829175,0.4396098072923522
SFE,0.018999155124111128,0.2864825410612611,0.6559384575027519,0.38685576831279367
UAX,0.02507899771009299,0.2663819657151274,0.7235737835428163,0.48616133147267904
CUA,0.003106984704374637,0.08341779586475606,0.9614684693249407,0.9226258716169701
NEZ,15474091.937742071,0.9999995275578825,0.07224919505086529,-1.2060948133923461
CAM,0.02019355395656452,0.2622255298990152,0.7584804617394254,0.5632130521186793
LPR,0.007307105977452419,0.11039095305061644,0.9465507650239121,0.8830874217108906
SJA,29933383.748519048,0.9999951579341614,-0.06939163932066754,-1.041275322309696
IZT,0.01770004343325588,0.24813188055155408,0.7591028020524593,0.5600409987409469
SAG,0.01362275326888931,0.2461903808254413,0.7346432990115079,0.5050094798184154
TAH,2831225.3064894266,0.9999824151558414,0.056854997471647954,-1.5945344779069441
ATI,0.005456466118851951,0.09334650225954283,0.9590290841714786,0.9207351027500239
FAC,0.010385088521044798,0.2579841423149253,0.694220882512329,0.4410739491750615
UIZ,0.010729627641690836,0.12883300297699785,0.9338652469912313,0.8631314511493429
MER,456769.4787472887,0.9999958962231528,-0.024147489637834786,-0.8609815380695083
PED,0.004140099294201433,0.07751459777170591,0.9741985442957973,0.9467791588815
TLA,2052323.4180107028,0.9999898103403883,-0.025732637399723347,-0.9894197277861949
XAL,0.005269416026953273,0.08971982887000703,0.9640423361465991,0.9279144865941549
CHO,0.020124613249545426,0.24506248085602997,0.7282868667237528,0.4899171858583492
BJU,0.024335234884674425,0.4346712499634309,0.5249807381520476,-1.8258195233772452
