estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.0034597982939389765,0.2565910262901677,0.564408406201601,-0.18528869300640105
MGH,0.012353667811919416,0.27505007145503735,0.6845444426341446,0.416791052755914
CCA,0.010575264527647872,0.24466195692225273,0.7393799790805087,0.5325719363645918
SFE,0.009575992604442897,0.2971399280046756,0.6725710598100826,0.374613639452117
UAX,0.016108476922726666,0.2431220337452335,0.7827030385584802,0.5850138253479795
CUA,0.0017852755846143099,0.03952548265495453,0.991523231133582,0.9828557331595498
NEZ,0.010038494858404442,0.2347921280867127,0.7803448369724753,0.5969667410461592
CAM,0.012282043574253415,0.24070240385035446,0.7624857860301332,0.5771654797963452
LPR,0.0023352510387039944,0.04336334520538455,0.9904134499201817,0.979329884485029
SJA,0.016106891934910817,0.21651651920527518,0.7793354637896519,0.5987401289801753
IZT,0.01378057180397198,0.2511547815293425,0.7903366851559964,0.6080180554147064
SAG,0.006560068112297636,0.21606580138610956,0.7533068355460832,0.553771253324328
TAH,0.00763254935311003,0.22166705076859083,0.7686601595440673,0.5891998083877061
ATI,0.0034915213715970813,0.05259985584902338,0.9876763846529553,0.9747433940887562
FAC,0.006167605791590922,0.2344431306347736,0.7262034089592753,0.527612674709939
UIZ,0.0036931999916739906,0.05742227668123258,0.986371447609339,0.9734849149333409
MER,0.00541913885291705,0.05115660290214005,0.9905393984528978,0.9808092100986086
PED,0.0028239806574271572,0.048137558714385326,0.9905404528055207,0.9801941143225572
TLA,0.004105391178305544,0.0573059007730609,0.987288734896353,0.9745679251177926
XAL,0.004845481751394694,0.04655190774956704,0.9904534656301596,0.9810586088686984
CHO,0.012213379041904905,0.2526160563070165,0.7471938859432403,0.5174370791903358
BJU,0.005245271656336007,0.12916136951243717,0.9512482914542957,0.8611826381340938
