estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.060593498506457545,0.5403586978305259,0.652965620880398,-1.0062582660323338
MGH,0.0169203797973732,0.2696971417641391,0.6893866346135624,0.37956137025479353
CCA,0.03574007203882013,0.3330769898865624,0.6013414674651258,0.31168956081900456
SFE,0.06262813326983029,0.38828824020024366,0.49008600374109595,-0.06763820799893527
UAX,0.02405678508021789,0.4082225279079845,0.3456659087277691,0.03446318927572367
CUA,0.003777067090389094,0.055823499189458406,0.9807641266347762,0.9611495191912692
NEZ,0.03118816500502665,0.3354928144288276,0.47558547633754045,-0.10922654146612865
CAM,0.03027376592366821,0.26671577674177704,0.7393798844201136,0.5366175904390427
LPR,0.051253671248752034,0.22996101510791467,0.9769460585090725,0.6445423055811174
SJA,0.15073927686349645,0.24088863628597723,0.7368703528058915,0.5314292413103892
IZT,0.04065764118527007,0.5215119968004653,0.14140607430739446,-0.1462771498449329
SAG,0.025970877112288158,0.2676320265707288,0.6963237737094831,0.47909182376380643
TAH,0.03674656198157126,0.33585323687826596,0.38847901446934197,0.03566037893011098
ATI,0.013605856333870993,0.0675741837927868,0.9783905101581462,0.9578985055313216
FAC,0.018962441178709304,0.28013632945001765,0.6721789434713037,0.44491441210740634
UIZ,0.007313777185188274,0.05228244187178401,0.9889184385027928,0.9773028817940568
MER,0.010053681462334324,0.05444593937699871,0.9888265340391945,0.9783567808962418
PED,0.010134960416906223,0.1057428585070854,0.9796387731019647,0.9090300413805822
TLA,0.0078059523949991876,0.05588483659399596,0.9903024890971112,0.9771255280248354
XAL,0.0084655252627125,0.05924856452904065,0.9882064564505293,0.9725255685703345
CHO,0.02618499613606415,0.3902392291962286,0.3622839252590237,0.01926845995156734
BJU,0.009569838440728149,0.08276581153930743,0.9716432885760404,0.9440795975208391
