estacion,MAPE,uTheils,IndiceCorrelacion,agreement
AJM,0.028802037493705274,0.386021398208445,0.3409500721284173,-1.6218160747788013
MGH,608533820.8733042,0.99998663304494,0.003439264570009515,-0.965136761650353
CCA,0.4776058781501959,0.3674937740176448,0.5321692324705655,-0.09546787426795333
SFE,456058903.1940061,0.9998003845562057,-0.013499602876714981,-1.4112627763170593
UAX,0.011494367112014786,0.2581091534057544,0.7458384230871615,0.5334921029424395
CUA,0.0024229510455911936,0.05712710017986687,0.9824553801744034,0.9635326965753377
NEZ,0.021684040171024845,0.32137569990506,0.6116570093295618,-0.0677858929572479
CAM,0.04150582209761181,0.30869196956005335,0.6768172209627003,0.3772618268102407
LPR,0.016175375266876995,0.163891384720392,0.8822977009723841,0.7431053969351855
SJA,29134247.752857614,0.9999834869199722,0.018326199456705494,-1.041271870546712
IZT,33199523.370609958,0.9999799881009066,0.026301117584267338,-0.9888271542306473
SAG,203443287.41954547,0.9997764087564529,-0.028866992292201195,-1.149647886424594
TAH,0.018015923007257108,0.29910708331272445,0.5518056885884246,0.1723416282011585
ATI,0.004284567984510873,0.06635768496994261,0.9801499308272683,0.9591987739582215
FAC,1.1196175623770004e+22,1.0,-0.02628325549635484,-1.2052689275141284
UIZ,0.0036242335765350937,0.050891060276345816,0.9891605681016598,0.9787363962998663
MER,0.004835817622645596,0.04546665464996573,0.9924069546399338,0.9850116433079574
PED,0.0033338760938946884,0.05341778940893056,0.9881405289209747,0.9756217103757127
TLA,0.0034334787093868928,0.045767572649255184,0.9921372095165201,0.983801863273891
XAL,0.0034062780316403605,0.04276323590153534,0.993275484212014,0.9835847896599065
CHO,0.03598279641513355,0.3129325324799182,0.5673123825707056,0.05844481865002671
BJU,0.41302011495489266,0.36375640169127077,0.5853568723055932,0.048851821898434844
