	fecha	cont_pmco_ATI	cont_pmdoscinco_ATI	cont_nox_ATI	cont_codos_ATI	cont_co_ATI	cont_nodos_ATI	cont_no_ATI	cont_otres_ATI	cont_sodos_ATI	cont_pmdiez_ATI
0	2013-01-26 00:00:00	-1.0	-1.0	30.0	-1.0	0.3	28.0	1.0	13.0	45.0	73.0
1	2013-01-26 01:00:00	-1.0	-1.0	26.0	-1.0	0.4	25.0	1.0	14.0	49.0	69.0
2	2013-01-26 02:00:00	-1.0	-1.0	24.0	-1.0	0.4	22.0	2.0	14.0	25.0	56.0
3	2013-01-26 03:00:00	-1.0	-1.0	35.0	-1.0	0.4	28.0	7.0	5.0	15.0	54.0
4	2013-01-26 04:00:00	-1.0	-1.0	31.0	-1.0	0.4	27.0	4.0	5.0	8.0	44.0
5	2013-01-26 05:00:00	-1.0	-1.0	41.0	-1.0	0.6	26.0	15.0	5.0	7.0	47.0
6	2013-01-26 06:00:00	-1.0	-1.0	74.0	-1.0	1.6	33.0	41.0	1.0	9.0	55.0
7	2013-01-26 07:00:00	-1.0	-1.0	148.0	-1.0	2.5	34.0	115.0	1.0	8.0	77.0
8	2013-01-26 08:00:00	-1.0	-1.0	197.0	-1.0	1.9	44.0	152.0	4.0	12.0	106.0
9	2013-01-26 09:00:00	-1.0	-1.0	111.0	-1.0	1.4	50.0	61.0	15.0	13.0	115.0
10	2013-01-26 10:00:00	-1.0	-1.0	95.0	-1.0	1.1	57.0	39.0	27.0	17.0	106.0
11	2013-01-26 11:00:00	-1.0	-1.0	104.0	-1.0	0.9	63.0	40.0	30.0	15.0	90.0
12	2013-01-26 12:00:00	-1.0	-1.0	44.0	-1.0	0.7	32.0	12.0	50.0	9.0	54.0
13	2013-01-26 13:00:00	-1.0	-1.0	51.0	-1.0	0.5	42.0	10.0	66.0	12.0	59.0
14	2013-01-26 14:00:00	-1.0	-1.0	51.0	-1.0	0.5	44.0	8.0	80.0	7.0	74.0
15	2013-01-26 15:00:00	-1.0	-1.0	28.0	-1.0	0.6	25.0	4.0	77.0	3.0	71.0
16	2013-01-26 16:00:00	-1.0	-1.0	25.0	-1.0	0.7	22.0	3.0	81.0	3.0	74.0
17	2013-01-26 17:00:00	-1.0	-1.0	35.0	-1.0	0.6	33.0	2.0	78.0	3.0	69.0
18	2013-01-26 18:00:00	-1.0	-1.0	66.0	-1.0	0.3	63.0	3.0	48.0	3.0	93.0
19	2013-01-26 19:00:00	-1.0	-1.0	53.0	-1.0	0.5	50.0	3.0	29.0	2.0	91.0
20	2013-01-26 20:00:00	-1.0	-1.0	31.0	-1.0	0.9	28.0	3.0	17.0	1.0	92.0
21	2013-01-26 21:00:00	-1.0	-1.0	27.0	-1.0	0.8	25.0	2.0	24.0	8.0	65.0
22	2013-01-26 22:00:00	-1.0	-1.0	23.0	-1.0	0.6	21.0	1.0	24.0	31.0	73.0
23	2013-01-26 23:00:00	-1.0	-1.0	27.0	-1.0	0.5	26.0	1.0	20.0	33.0	59.0
24	2013-01-27 00:00:00	-1.0	-1.0	31.0	-1.0	0.4	29.0	2.0	16.0	27.0	47.0
25	2013-01-27 01:00:00	-1.0	-1.0	31.0	-1.0	0.4	28.0	2.0	15.0	18.0	36.0
26	2013-01-27 02:00:00	-1.0	-1.0	25.0	-1.0	0.3	23.0	2.0	19.0	19.0	28.0
27	2013-01-27 03:00:00	-1.0	-1.0	36.0	-1.0	0.4	31.0	5.0	8.0	14.0	28.0
28	2013-01-27 04:00:00	-1.0	-1.0	38.0	-1.0	0.4	33.0	5.0	5.0	9.0	29.0
29	2013-01-27 05:00:00	-1.0	-1.0	41.0	-1.0	0.7	33.0	7.0	4.0	12.0	30.0
30	2013-01-27 06:00:00	-1.0	-1.0	58.0	-1.0	1.7	34.0	24.0	3.0	11.0	33.0
31	2013-01-27 07:00:00	-1.0	-1.0	101.0	-1.0	2.8	37.0	64.0	1.0	9.0	39.0
32	2013-01-27 08:00:00	-1.0	-1.0	97.0	-1.0	2.5	39.0	58.0	6.0	9.0	52.0
33	2013-01-27 09:00:00	-1.0	-1.0	83.0	-1.0	1.9	45.0	37.0	19.0	10.0	60.0
34	2013-01-27 10:00:00	-1.0	-1.0	68.0	-1.0	1.4	45.0	24.0	32.0	12.0	85.0
35	2013-01-27 11:00:00	-1.0	-1.0	75.0	-1.0	1.0	53.0	22.0	45.0	13.0	103.0
36	2013-01-27 12:00:00	-1.0	-1.0	34.0	-1.0	0.5	27.0	7.0	63.0	6.0	62.0
37	2013-01-27 13:00:00	-1.0	-1.0	21.0	-1.0	0.4	17.0	4.0	71.0	6.0	58.0
38	2013-01-27 14:00:00	-1.0	-1.0	21.0	-1.0	0.4	18.0	4.0	81.0	6.0	64.0
39	2013-01-27 15:00:00	-1.0	-1.0	20.0	-1.0	0.4	17.0	3.0	87.0	4.0	54.0
40	2013-01-27 16:00:00	-1.0	-1.0	25.0	-1.0	0.5	23.0	3.0	103.0	6.0	29.0
41	2013-01-27 17:00:00	-1.0	-1.0	27.0	-1.0	0.5	25.0	2.0	93.0	6.0	23.0
42	2013-01-27 18:00:00	-1.0	-1.0	53.0	-1.0	0.4	50.0	3.0	57.0	6.0	25.0
43	2013-01-27 19:00:00	-1.0	-1.0	67.0	-1.0	0.4	61.0	5.0	39.0	4.0	65.0
44	2013-01-27 20:00:00	-1.0	-1.0	67.0	-1.0	0.6	61.0	6.0	17.0	3.0	72.0
45	2013-01-27 21:00:00	-1.0	-1.0	58.0	-1.0	0.6	52.0	6.0	16.0	3.0	73.0
46	2013-01-27 22:00:00	-1.0	-1.0	28.0	-1.0	0.5	27.0	1.0	30.0	4.0	65.0
47	2013-01-27 23:00:00	-1.0	-1.0	19.0	-1.0	0.4	19.0	1.0	32.0	3.0	65.0
48	2013-01-28 00:00:00	-1.0	-1.0	11.0	-1.0	0.3	11.0	1.0	37.0	3.0	57.0
49	2013-01-28 01:00:00	-1.0	-1.0	12.0	-1.0	0.3	11.0	1.0	34.0	2.0	42.0
50	2013-01-28 02:00:00	-1.0	-1.0	16.0	-1.0	0.5	14.0	1.0	26.0	2.0	37.0
51	2013-01-28 03:00:00	-1.0	-1.0	16.0	-1.0	1.0	14.0	1.0	25.0	2.0	49.0
52	2013-01-28 04:00:00	-1.0	-1.0	17.0	-1.0	2.7	16.0	1.0	22.0	2.0	43.0
53	2013-01-28 05:00:00	-1.0	-1.0	56.0	-1.0	2.0	35.0	20.0	5.0	2.0	45.0
54	2013-01-28 06:00:00	-1.0	-1.0	146.0	-1.0	1.4	41.0	104.0	1.0	3.0	48.0
55	2013-01-28 07:00:00	-1.0	-1.0	204.0	-1.0	0.9	46.0	158.0	1.0	4.0	50.0
56	2013-01-28 08:00:00	-1.0	-1.0	192.0	-1.0	0.5	54.0	138.0	4.0	4.0	66.0
57	2013-01-28 09:00:00	-1.0	-1.0	156.0	-1.0	0.6	66.0	90.0	13.0	4.0	80.0
58	2013-01-28 10:00:00	-1.0	-1.0	43.0	-1.0	0.5	31.0	12.0	43.0	3.0	95.0
59	2013-01-28 11:00:00	-1.0	-1.0	47.0	-1.0	0.5	35.0	13.0	46.0	3.0	98.0
60	2013-01-28 12:00:00	-1.0	-1.0	36.0	-1.0	0.5	28.0	8.0	59.0	3.0	78.0
61	2013-01-28 13:00:00	-1.0	-1.0	30.0	-1.0	0.6	25.0	5.0	72.0	2.0	64.0
62	2013-01-28 14:00:00	-1.0	-1.0	33.0	-1.0	0.6	29.0	5.0	89.0	2.0	55.0
63	2013-01-28 15:00:00	-1.0	-1.0	34.0	-1.0	0.5	30.0	3.0	88.0	2.0	26.0
64	2013-01-28 16:00:00	-1.0	-1.0	19.0	-1.0	0.5	17.0	2.0	64.0	1.0	33.0
65	2013-01-28 17:00:00	-1.0	-1.0	22.0	-1.0	0.5	20.0	3.0	47.0	1.0	47.0
66	2013-01-28 18:00:00	-1.0	-1.0	50.0	-1.0	0.4	44.0	6.0	25.0	1.0	70.0
67	2013-01-28 19:00:00	-1.0	-1.0	37.0	-1.0	0.5	32.0	5.0	24.0	1.0	148.0
68	2013-01-28 20:00:00	-1.0	-1.0	43.0	-1.0	0.6	38.0	5.0	17.0	1.0	44.0
69	2013-01-28 21:00:00	-1.0	-1.0	31.0	-1.0	0.3	29.0	3.0	21.0	1.0	29.0
70	2013-01-28 22:00:00	-1.0	-1.0	51.0	-1.0	0.3	37.0	14.0	6.0	1.0	33.0
71	2013-01-28 23:00:00	-1.0	-1.0	72.0	-1.0	0.3	42.0	30.0	1.0	1.0	32.0
72	2013-01-29 00:00:00	-1.0	-1.0	49.0	-1.0	0.3	35.0	15.0	8.0	1.0	20.0
73	2013-01-29 01:00:00	-1.0	-1.0	12.0	-1.0	0.3	11.0	1.0	28.0	1.0	22.0
74	2013-01-29 02:00:00	-1.0	-1.0	21.0	-1.0	0.6	20.0	1.0	15.0	1.0	26.0
75	2013-01-29 03:00:00	-1.0	-1.0	36.0	-1.0	1.5	33.0	3.0	6.0	1.0	26.0
76	2013-01-29 04:00:00	-1.0	-1.0	47.0	-1.0	2.3	36.0	11.0	1.0	1.0	25.0
77	2013-01-29 05:00:00	-1.0	-1.0	58.0	-1.0	1.6	33.0	25.0	4.0	1.0	28.0
78	2013-01-29 06:00:00	-1.0	-1.0	113.0	-1.0	1.2	36.0	76.0	1.0	2.0	34.0
79	2013-01-29 07:00:00	-1.0	-1.0	189.0	-1.0	0.8	40.0	149.0	1.0	3.0	74.0
80	2013-01-29 08:00:00	-1.0	-1.0	237.0	-1.0	0.7	48.0	189.0	2.0	5.0	79.0
81	2013-01-29 09:00:00	-1.0	-1.0	108.0	-1.0	0.2	43.0	65.0	12.0	3.0	92.0
82	2013-01-29 10:00:00	-1.0	-1.0	74.0	-1.0	0.1	44.0	30.0	24.0	3.0	82.0
83	2013-01-29 11:00:00	-1.0	-1.0	26.0	-1.0	0.2	17.0	9.0	38.0	1.0	52.0
84	2013-01-29 12:00:00	-1.0	-1.0	9.0	-1.0	0.2	6.0	3.0	46.0	0.0	66.0
85	2013-01-29 13:00:00	-1.0	-1.0	10.0	-1.0	0.2	7.0	3.0	57.0	1.0	70.0
86	2013-01-29 14:00:00	-1.0	-1.0	14.0	-1.0	0.1	11.0	3.0	68.0	2.0	48.0
87	2013-01-29 15:00:00	-1.0	-1.0	13.0	-1.0	0.1	10.0	3.0	68.0	1.0	64.0
88	2013-01-29 16:00:00	-1.0	-1.0	14.0	-1.0	0.3	11.0	3.0	61.0	1.0	33.0
89	2013-01-29 17:00:00	-1.0	-1.0	15.0	-1.0	0.7	12.0	3.0	48.0	1.0	22.0
90	2013-01-29 18:00:00	-1.0	-1.0	14.0	-1.0	0.6	12.0	2.0	35.0	1.0	36.0
91	2013-01-29 19:00:00	-1.0	-1.0	37.0	-1.0	0.6	29.0	8.0	12.0	1.0	66.0
92	2013-01-29 20:00:00	-1.0	-1.0	37.0	-1.0	0.6	27.0	10.0	11.0	1.0	64.0
93	2013-01-29 21:00:00	-1.0	-1.0	22.0	-1.0	0.4	17.0	5.0	16.0	0.0	67.0
94	2013-01-29 22:00:00	-1.0	-1.0	50.0	-1.0	0.2	30.0	21.0	4.0	0.0	65.0
95	2013-01-29 23:00:00	-1.0	-1.0	47.0	-1.0	0.2	30.0	17.0	4.0	0.0	69.0
96	2013-01-30 00:00:00	-1.0	-1.0	29.0	-1.0	0.2	25.0	3.0	7.0	0.0	41.0
97	2013-01-30 01:00:00	-1.0	-1.0	39.0	-1.0	0.1	29.0	10.0	3.0	0.0	35.0
98	2013-01-30 02:00:00	-1.0	-1.0	39.0	-1.0	0.2	29.0	9.0	2.0	1.0	31.0
99	2013-01-30 03:00:00	-1.0	-1.0	23.0	-1.0	0.9	20.0	3.0	9.0	0.0	31.0
100	2013-01-30 04:00:00	-1.0	-1.0	13.0	-1.0	1.3	11.0	2.0	18.0	0.0	30.0
101	2013-01-30 05:00:00	-1.0	-1.0	27.0	-1.0	1.1	20.0	7.0	9.0	0.0	30.0
102	2013-01-30 06:00:00	-1.0	-1.0	57.0	-1.0	0.9	26.0	31.0	5.0	0.0	38.0
103	2013-01-30 07:00:00	-1.0	-1.0	135.0	-1.0	0.3	33.0	102.0	3.0	2.0	61.0
104	2013-01-30 08:00:00	-1.0	-1.0	246.0	-1.0	0.4	47.0	198.0	3.0	4.0	126.0
105	2013-01-30 09:00:00	-1.0	-1.0	216.0	-1.0	0.3	68.0	148.0	6.0	6.0	122.0
106	2013-01-30 10:00:00	-1.0	-1.0	129.0	-1.0	0.2	59.0	70.0	19.0	21.0	99.0
107	2013-01-30 11:00:00	-1.0	-1.0	51.0	-1.0	0.2	34.0	17.0	37.0	11.0	63.0
108	2013-01-30 12:00:00	-1.0	-1.0	23.0	-1.0	0.2	17.0	7.0	45.0	5.0	53.0
109	2013-01-30 13:00:00	-1.0	-1.0	27.0	-1.0	0.2	20.0	7.0	58.0	5.0	45.0
110	2013-01-30 14:00:00	-1.0	-1.0	23.0	-1.0	0.2	19.0	4.0	71.0	5.0	45.0
111	2013-01-30 15:00:00	-1.0	-1.0	24.0	-1.0	0.2	20.0	3.0	78.0	9.0	60.0
112	2013-01-30 16:00:00	-1.0	-1.0	29.0	-1.0	0.3	24.0	5.0	57.0	25.0	48.0
113	2013-01-30 17:00:00	-1.0	-1.0	43.0	-1.0	0.6	36.0	7.0	33.0	44.0	55.0
